source_id,stage,claim_supported,source_title,author_or_publication,source_type,primary_or_secondary,event_date,publication_date,access_date,url,archived_url,tier,evidence_class,confidence,independence_note,relevant_passage,notes
S0011,stage1,"Documented null: no Washington Secretary of State entity record for Cadabra, Inc. was reachable (connection failed), OpenCorporates returned 401, and Chronicling America/LOC returned 403, so the rename date cannot be fixed from a registry",Failed registry and newspaper-archive routes (WA SoS corqs.access.wa.gov; OpenCorporates; Chronicling America/LOC),Project retrieval log,Retrieval log / documented null,-,UNKNOWN,2026-09-23,2026-09-23,UNKNOWN,UNKNOWN,1,UNKNOWN,High (that the routes failed),Not a source of facts; recorded so the routes are not re-run. The absence of a registry record is not evidence that no record exists,UNKNOWN,The only authority that could date the 1994-95 name change is the Washington entity file (RD-008); it remains the top open legal lead
S0012,stage1,"Clean negative: 0 images exist in the S-1 or in any of the seven other 1997 Amazon accessions; the bracketed figure caption is a printer's art-direction instruction printed in the text; S-1/A cover and p.66 art plan name seven pages with quoted 1997 captions (2.5 million titles, 40% discount, warehouse/barcode shots, an e-mail confirmation specimen)",Graphics recovery inventory for EDGAR accessions 0000891618-97-001309 and the seven other 1997 filings,Level-3 Graphics Recovery agent (project enumeration of EDGAR),Archive enumeration / documented null,Primary (about the archive),1997-05-09,2026-09-23,2026-09-23,UNKNOWN,sources/s1_graphics/INVENTORY.md (17 artifacts plus INVENTORY.md),1,FACT (documented null),High,"Derived entirely from S0801-S0804 registry structure (PUBLIC DOCUMENT COUNT 38 = 38 index rows = 38 DOCUMENT blocks, 1,438,356 B of 1,444,013 B; zero GRAPHIC, img, gif, jpg, base64), so it adds no independent testimony about 1995","[PICTURES OF THE COMPANY'S WELCOME, SEARCH, REVIEW AND ORDERING WEB PAGES]",COR-04/COR-11.6: nothing is 'recovery pending' here. Do not re-run this retrieval (15 requests spent to prove an absence). Residual: the SEC paper/microfilm original (film 9561192) would carry the images and five non-prospectus 1997 accessions were never opened
S0201,stage1,"The putative underlying statistic: Web bytes up by a factor of 2,057 and packets up by 2,560 between January 1993 and January 1994, published in the February 1994 edition of Matrix News","Matrix News, no. 21 (February 1994)","John Q. Quarterman, Matrix Research","Newsletter (cited, never examined)","Primary (would be, if retrieved)",1994-02,1994-02,UNKNOWN,UNKNOWN,UNKNOWN,2,UNKNOWN (never examined at source),Low,"ANCESTOR OF S0206, which is the only documented derivation of it in this corpus; no dossier examined the newsletter, so whether it printed '2,300%' is UNKNOWN and the 2,300% statistic still has NO TRACEABLE ORIGIN",One set of numbers in particular in the February 1994 edition of the newsletter was startling.,"Quoted words are Stone's description of the newsletter (S0206), recorded here so the lineage is explicit. Never cite as retrieved evidence; RD-002 closed as untraced"
S0202,stage1,"Earliest dated description of the founding plan ('pecked out a business plan on his laptop'); the 2,300% figure as first printed; the sales-tax/distribution/talent location rationale ('Sales taxes dictated a small state', Roseburg, Oregon); 'had no idea where he was going to live or how he would fund his scheme'; 34% a month for 16 months; 1996 bestseller listing; the 'world's first electronic bookstore' epithet; warehouse operations description",The Book on Amazon.com,"Jonathan Littman, Los Angeles Times (Sunday Business)",Newspaper feature (site visit),Secondary,1994-1997,1997-07-20,2026-09-23,https://www.latimes.com/archives/la-xpm-1997-jul-20-tm-14520-story.html,UNKNOWN,2 for Stage 1 (T1 as a 1997 artifact),CONTEMPORARY OBSERVATION for 1997; RETROSPECTIVE SOURCE for Stage 1,High as 1997 journalism / Medium for what it says about 1994-95,"ANCESTOR OF the printed 2,300% lineage (S0203, S0206, S0004 all restate it) and of the roadmap-at-rung-3 evidence (earliest description of the planning document). Closest substantive secondary narrative to Stage 1, but written two years after the window and after success was visible","In the spring of 1994, Bezos surfed the World Wide Web for the first time and happened upon a site projecting annual Web growth at an astounding 2,300%.","restoration pending - this is `lat.txt`, named STILL-MISSING by COR-08 and by the evidence cache's restoration map: the LA Times Littman page (la-xpm-1997-jul-20-tm-14520-story.html) is not in sources/ and no restored file substitutes for it. Confirmed by this pass, not cleared. Original note text retained verbatim: Its operational description (basket carts, hand-held scanners, basketball-arena-sized warehouse, 'Beavis & Butt-head' printers) describes the 1997 operation and must not be back-dated into Stage 1. STILL-MISSING (lat.txt)"
S0203,stage1,"2,300% founding trigger; the 20-category list; David Shaw's 48-hour reaction; regret minimisation; the forgone Wall Street bonus; the 50-phone-books catalogue argument; 170,000 vs 'over a million' titles; Seattle for warehouse plus talent; the Blazer road trip and first business-plan draft in the car; 'I initially incorporated under the name Cadabra'; six-week beta with ~300 friend-and-family orders and the 15 July e-mail; ten-book wholesaler minimum and the lichen workaround; basement packing then a 400-square-foot warehouse; 'we are famously unprofitable'",'Jeff Bezos' (Playboy interview),David Sheff (for Playboy),Interview transcript (founder-originated),Secondary; primary for 1999,1994-1995,2000,2026-09-23,https://www.davidsheff.com/jeff-bezos,"sources/sheff-playboy-interview_davidsheff-com-jeff-bezos.txt (52,098 B) and .html (133,811 B)",1 as an artifact of 1999/2000 / 4 as evidence for 1994,"FOUNDER CLAIM (RETROSPECTIVE, conducted 1999 / published 2000)",High that he said it / Low as to Stage-1 accuracy,"THIS IS A 1999 INTERVIEW PUBLISHED IN 2000, NOT a 1994 contemporaneous profile: the file self-dates and internally references zShops, a $22 billion valuation and 12 million users. ANCESTOR OF most founder-state claims in sections B, C and N. It is T4 evidence for 1994, and its former cache label '1994 / Wired / contemporaneous T1' is void (COR-06/RD-013)",This interview was conducted in 1999 and published in 2000.,"Publication date is the 2000 publication; the interview was conducted in 1999. RESTORED 2026-09-23 and on disk, so all quotations re-verify. Consequence for the stage file: NO contemporaneous founder-state interview exists for Stage 1 (U.14); the only in-window founder words are in S1701 and S1703, which are company-issued publicity"
S0204,stage1,"Founder's own retrospective account of the decision to leave D. E. Shaw and of the founding motive, carried as an interview artifact",Academy of Achievement interview with Jeff Bezos,Academy of Achievement,Broadcast/interview transcript,Secondary,1994-1995,2001-05-04,UNKNOWN,UNKNOWN,UNKNOWN,2,FOUNDER CLAIM (RETROSPECTIVE),Medium,"Same single Bezos lineage as S0203 and S0210 - one source, several venues; no independent corroboration of anything it asserts about 1994",UNKNOWN,"Publication date recorded from the dossier's source list; no URL recorded in the harvest set, so it cannot be re-verified locally"
S0205,stage1,"'I told my wife MacKenzie that I wanted to quit my job and go do this crazy thing' - the spousal-consent line, and by extension the family-approval sequence",Princeton commencement address,Jeff Bezos (quoted via Wired inside S0004),Commencement address (quoted at second hand),Secondary,1994,2010-05-30,UNKNOWN,UNKNOWN,UNKNOWN,2,FOUNDER CLAIM (RETROSPECTIVE),High that he said it in 2010 / UNKNOWN whether any 1994 record of the reaction exists,"Reaches the corpus only inside S0004, i.e. derivative of a 2010 speech; ANCESTOR of the 'wife consented' telling used in section B. It is 15 years after the event",I told my wife MacKenzie that I wanted to quit my job and go do this crazy thing that probably wouldn't work since most startups don't,May not be presented as a 1994 observation (U.33); the parental cheque narrative may not be cited as proof of the parental amount (U.8)
S0206,stage1,"Quarterman/Matrix News chart detail (2,057 and 2,560 factors) and the '2,300 percent a 230,000 percent increase' math error; the ~20-category list; the road trip variant (Holden's notebook list, MakeItSo.com); the DESCO 'everything store' attribution and Juno/FarSight firm ownership; the two-year non-recruit clause; $10,000 of his own money, $84,000 in loans, $150,000 from parents; 'four employees'; Ingram and Baker & Taylor as the two distributors; the Future Fantasy/Word Wide Web first-purchase test at $6.04; 'the person he anointed to spearhead the effort was Jeff Bezos'","The Everything Store: Jeff Bezos and the Age of Amazon, Chapter 1 (NBC News excerpt)","Brad Stone, NBC News/Wiley",Reported book excerpt,Secondary,1986-1995,2013-10-15,2026-09-23,https://www.nbcnews.com/id/wbna53283862,UNKNOWN,2 (dossier G graded it 3),RETROSPECTIVE INTERPRETATION,Medium-High,"THE SHARED UPSTREAM ORIGIN OF MOST CIRCULATING STAGE-1 FOLKLORE: ANCESTOR OF S0004 (HistoryLink 2025), S1804 and S1805 (Wikipedia's 1994 chronology, whose only citation is this book) and of most Tier-4 retellings. Only Chapter 1 was seen, so its silence on a roadmap is suggestive, not conclusive. It is the only source that interviewed the parents, Kaphan, Ardai, Lovejoy and MacKenzie","Bezos interpolated from this that Web activity overall had gone up that year by a factor of roughly 2,300-a 230,000 percent increase.","restoration pending - this is `stone.txt`, named STILL-MISSING by COR-08 and the restoration map: the NBC News excerpt (nbcnews.com/id/wbna53283862) is not in sources/. The row's own earlier STILL-MISSING judgement is confirmed by this pass. Original note text retained verbatim: STILL-MISSING (stone.txt). Repeated retellings of one story (road trip, twenty categories, the 22-investor round, the 'everything store') remain ONE lineage per method sec.3"
S0207,stage1,"'60 meetings', 'about $1 million', '22 people at approximately $50,000', '20 percent of the company' - the packaged friends-and-family round as the founder told it","Jeff Bezos had to take 60 meetings to raise $1 million for Amazon.com, giving 20 early investors (quoting Bezos on CBS)""","John Cook, GeekWire (relay of Bezos on CBS / Charlie Rose)",Broadcast quote relay,Secondary,1995,2013-12-01,2026-09-23,https://www.geekwire.com/2013/jeff-bezos-60-meetings-raise-1m-amazoncom-giving-20-early-investors/,UNKNOWN,2,FOUNDER CLAIM (RETROSPECTIVE),Medium,"ANCESTOR OF the '$1.1M from 22 friends and family at $50,000 each for ~20%' legend in its most-quoted form; NO filing supports the structure, and S0801 discloses a different one (23 purchasers, $1,007,000 at $.3333, subscriptions 1995-12-06 to 1996-05-16)",UNKNOWN,restoration pending - no local copy in sources/ of the GeekWire 2013 relay (geekwire.com/2013/jeff-bezos-60-meetings-raise-1m-amazoncom-giving-20-early-investors); outside the restoration scope. Original note text retained verbatim: Corollary of COR-10: do not print per-investor amounts or the roster from this document
S0208,stage1,"Circulation of the founding lore in listicle form; the 'first online bookstore' and 2,300% folklore as current-state myth",Business Insider item on Amazon's founding,"Business Insider, 2016-10-20",Aggregator/summary,Tertiary,1994-1995,2016-10-20,UNKNOWN,UNKNOWN,UNKNOWN,4,RETROSPECTIVE INTERPRETATION (uncorroborated),Low,"DERIVATIVE OF S0206 via the aggregation layer; evidence of CIRCULATION only, never of the event",UNKNOWN,Quarantined as non-evidence; listed so a later agent does not count it as a third independent source
S0209,stage1,"The 'almost $250,000' parental figure and its actual provenance",Los Angeles Times article on Bezos family investment (1995 dollars restated),"Tom Metcalf, Los Angeles Times",Newspaper analysis (inflation restatement),Secondary,1995,2018-08-01,UNKNOWN,UNKNOWN,UNKNOWN,2,ESTIMATE / DERIVED (retrospective inference),Low-Medium,"ANCESTOR OF the $250,000 figure that S1804 carries, and NOT a transaction record: it is a 2018 inference built as an inflation template around $245,573 from LATER share holdings. The competing $150,000 traces to S0206 p.33 via S0004. Neither is disclosure","Bezos' parents invested almost $250,000 in the start-up.,Passage is as quoted inside S1804"," which footnotes this article. URL not recorded; never appears as Stage-1 fact (COR-09)"""
S0210,stage1,"'The wake-up call was finding this startling statistic that web usage in the spring of 1994 was growing at 2,300 percent a year' - a further Bezos restatement of the trigger statistic",'A Look Back...' Bezos interview quoted by HistoryLink,"Jeff Bezos, quoted in S0004","Interview (quoted at second hand, venue and date not recorded)",Secondary,1994,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,2,FOUNDER CLAIM (RETROSPECTIVE),Medium,"DERIVATIVE OF the same single Bezos lineage as S0203 and S0206 and reaches us inside S0004; three tellings, ONE source. The 2,300% statistic STILL HAS NO TRACEABLE ORIGIN in any 1994 document and is verified absent from the on-disk S-1","The wake-up call was finding this startling statistic that web usage in the spring of 1994 was growing at 2,300 percent a year.",Venue and date not recorded in the dossiers; do not upgrade. Never enters the metrics table as history (U.6)
S0401,stage1,Scale and character of the early Web as a retail channel: the CERN-era server list numbers in the tens and is self-declared incomplete; the World Wide Web was not a mass consumer storefront in 1992-95,"World-Wide Web Servers / W3 servers (CERN W3 project page, W3C Historical Archives mirror)","CERN W3 project, mirrored by W3C",Archived institutional directory listing,Primary for its own date,1992-11-03,1992-11-03,2026-09-23,https://www.w3.org/History/19921103-hypertext/hypertext/DataSources/WWW/Servers.html,UNKNOWN,1,"CONTEMPORARY OBSERVATION (of the technology, not of Amazon)",High that the artifact exists; the list is self-declared incomplete,"Independent of Amazon and of every filing; ANCESTOR of the tens-of-servers leg of the contemporaneous measurement set that does NOT support a 2,300-percent-per-year growth rate (U.6)","This is a list of some WWW servers. It does not include all servers, and note that one server machine can serve many databases.","A 1992 page image of the early web: current-state artifacts are not evidence of early state, and this one is not evidence about Amazon at all"
S0402,stage1,"Period freight-postage prices effective 1995-01-01, the only primary-dated transport cost behind the money model; establishes the 1995 book rate as a CLASSIFICATION, not as a PRICE","Changes in Postal Rates and Fees, 59 FR final rate notice","United States Postal Service, Federal Register (govinfo)",Government gazette rate schedule,Primary,1995-01-01,1994-12-16,2026-09-23,https://www.govinfo.gov/content/pkg/FR-1994-12-16/html/94-30967.htm,UNKNOWN,1,FACT,High,"The only period freight prices fixed by a primary document; no UPS or Federal Express 1995 schedule was retrievable, so shipping economics cannot be closed from here",UNKNOWN,"restoration pending - no local copy of Federal Register notice 94-30967 (govinfo FR-1994-12-16). sources/ holds Amazon filings, the Sheff text, HistoryLink 23230, the Mosaic mirror and the Wayback null only. Original note text retained verbatim: (never saved to sources/)"
S0403,stage1,"1996 domestic mail class and rate reform, used only to bound the fulfilment-cost environment after the stage endpoint",Changes in Domestic Mail Classifications and Rates,"United States Postal Service, Federal Register",Government gazette rate schedule,Primary,1996,1996-03-12,2026-09-23,UNKNOWN,UNKNOWN,1,FACT,High,Sibling of S0402 in the same primary-document class; carries no narrative lineage,UNKNOWN,"restoration pending - no local copy and no URL recorded for the 1996-03-12 USPS classification and rate notice: with neither an accession nor a locator there is nothing in sources/ to match it against. Original note text retained verbatim: post-boundary, consequence column only; URL not recorded in the harvest set"
S0404,stage1,"Structure and dated-URL form of a mid-1990s web directory, i.e. what a 1995-96 web page and its index actually looked like",NetMarket directory index (sinope-210.netmarket.com),NetMarket,Archived web directory index,Primary for its own date,1994-07/1996-10,1996-10-29,2026-09-23,UNKNOWN,Wayback capture dated 1996-10-29,1,CONTEMPORARY OBSERVATION (technology environment),Low-Medium,"Third-party period artifact independent of Amazon: it evidences the shape of the 1995-96 web, not Amazon's place on it",minutes/ 17-Jul-94 12:50 - ... tools/ 13-Dec-95 09:53 - ... talks/ 22-Oct-96 13:36,"restoration pending - no local copy of the NetMarket directory index; only a 1996-10-29 capture stamp was recorded and no URL, so no match to anything in sources/ is possible"
S0405,stage1,"The 1995-96 internet payments environment: a functioning non-card payment service with seller on-boarding existed off the retail web, which bounds what Amazon could assume about card payment",First Virtual Holdings Incorporated homepage,First Virtual,Archived company page,Primary for its own date,1996,1996-12-26,2026-09-23,UNKNOWN,Wayback capture dated 1996-12-26,1,CONTEMPORARY OBSERVATION (technology environment),Medium,"Independent of Amazon; a bound on the 1995 payments environment, not evidence of Amazon's own payment systems (U.23)",Become a Seller ... Shopping Directory ... System Overview ... Developer Programs,"restoration pending - no local copy of the First Virtual homepage capture (1996-12-26). The one archived web page on disk is the NCSA Mosaic August-1995 'What's New' mirror, which is a different document on a different host and is already registered as S1001. Original note text retained verbatim: the capture date is post-boundary, used to bound what existed rather than to describe 1995"
S0406,stage1,"Contemporaneous measurement of Web scale, 603,367 responding sites in December 1996, which with S0407 and S0401 contradicts any sustained 2,300-percent-per-year rate","The Netcraft Web Server Survey, December 1996",Netcraft Ltd,Archived web census,Primary (self-published census),1996-12,1996-12-30,2026-09-23,https://web.archive.org/web/19961230090403/http://www.netcraft.com/survey/,UNKNOWN,1,CONTEMPORARY OBSERVATION (statistic),High,"Independent of Amazon and of the filings; one of three contemporaneous measurements weighed against the founder's 2,300% claim (U.6). Post-boundary date","In the December 1996 survey we received responses from 603,367 sites.",restoration pending - no local copy of the Netcraft December-1996 survey output in sources/
S0407,stage1,"Second Netcraft point, 1,117,259 responding sites on the June 1997 survey, i.e. roughly 85 percent growth in six months as the order of magnitude the Web actually sustained","The Netcraft Web Server Survey, June 1997 content",Netcraft Ltd,Archived web census,Primary (self-published census),1997-06,1997-02-11,2026-09-23,UNKNOWN,capture 1997-02-11,1,CONTEMPORARY OBSERVATION (statistic),Medium-High,"Same census programme as S0406, therefore ONE measurement programme and not two independent confirmations","In the June 1997 survey we received responses from 1,117,259 sites.",restoration pending - no local copy of the Netcraft capture whose February-1997 stamp and June-1997 content disagree; the disagreement is unresolved AND uncaptured. Original note text retained verbatim: capture/content date disagreement recorded as a caveat by the dossier (a February-1997 capture cannot hold June-1997 content); left unresolved rather than silently picked
S0408,stage1,"Aggregated 1996 user and host estimates, used only to show the range of period estimates; nothing about Amazon",Nua Internet Surveys archive,"Nua Ltd, Dublin",Survey aggregator (trade),Secondary,1996-01/1996-09,1997-02-24,2026-09-23,UNKNOWN,UNKNOWN,3,CONTEMPORARY OBSERVATION via aggregator,Medium-High that the archive existed as described; Low for any figure taken from it,"Aggregator of other organisations' surveys: a LEAD to underlying sources, never corroboration of them (method sec.5 Tier-4 duty to chase)",The Nua Internet Surveys Archives contain Nua digests of surveys and reports on the internet from January to September 1996.,restoration pending - no local copy of the Nua survey archive page and no URL recorded
S0409,stage1,"Independent incumbent measurement of the same universe Amazon counted: more than 1.2 million books in print; superstore title ranges of 60,000 to 175,000; 431 superstores in 47 states and DC plus 577 mall stores; B. Dalton stocks of 15,000 to 25,000 titles; the self-description as world's largest supplier of books through direct-mail catalogues; mall-bookstore declines attributed to superstore competition; the AOL relationship beginning March 1997","Barnes & Noble, Inc. Form 10-K for the fiscal year ended February 1, 1997, Item 1","Barnes & Noble, Inc. (SEC)",SEC filing (competitor),Primary,1997-02-01,1997-05-02,2026-09-23,https://www.sec.gov/Archives/edgar/data/890491/000088981297001072/0000889812-97-001072.txt,UNKNOWN,1,FACT,High,"GENUINELY INDEPENDENT of Amazon and of S0801: it is the incumbent's own measurement of the same universe, which is why the 1.2M-versus-1.5M in-print disagreement is a finding about period data quality rather than about either filing (U.20)",each store will special order any book from the more than 1.2 million books in print,"restoration pending - not on disk: sources/ holds only Amazon's own four accessions; the Barnes & Noble 10-K (CIK 890491, accession 0000889812-97-001072) was never downloaded. Original note text retained verbatim: (sources/ holds Amazon filings only). Entirely post-boundary: competitor state and consequence only, never Stage-1 fact"
S0410,stage1,"The November-1997 trade view of online bookselling as a big three market (Amazon, Barnes and Noble, Book Stacks Unlimited); competitor discount ranges of 30 to 40 percent off hardcovers and 20 to 30 off paperbacks; competitor membership fees of $29.95 to $69.95; a rival listing at least 400,000 titles","Online booksellers, Library Systems Newsletter 17(11):89",Richard W. Boss,Trade reference,Secondary,1997,1997-11,2026-09-23,https://librarytechnology.org/document/5660/,UNKNOWN,2,CONTEMPORARY OBSERVATION (1997),Medium-High,"Independent trade source but wholly post-boundary; it corroborates that Amazon's discounts were not unique, which bears on U.18",prices 30 to 40 percent off list for hardcovers and 20 to 30 for paperbacks,restoration pending - no local copy of the Library Systems Newsletter item (librarytechnology.org/document/5660)
S0411,stage1,"The circulating Internet-population figures of the period (World total 101 million; Canada and USA 64 million) as compiled third-party estimates, and the impossibility of converting them into a 1995 household number",Nua Internet How Many Online,Nua Ltd,Survey aggregator page (archived),Tertiary,1998-02-08,1998-02-08,2026-09-23,UNKNOWN,Wayback capture dated 1998-02-08,4,ESTIMATE / DERIVED (by others),Low,"Compiled from Various sources with no disclosed methodology: a lead to primaries, never corroboration. The 1995 household proxy is S1603, not this",World Total 101 million... Canada & USA 64 million... Source: Various; Methodology. Compiled by Nua Internet Surveys,restoration pending - no local copy of the Nua 'How Many Online' capture (1998-02-08); URL not recorded. Original note text retained verbatim: post-boundary
