company,stage,date,metric,value,unit,source,source_date,evidence_class,confidence,derived_arithmetic,notes
Walmart,stage1,FY1975,Net income per share,0.95,USD/share,S0104,1975-03-28,FACT,High,,"CONTEMPORANEOUS, pre-split; restated basis prints $.45 primary / $.45 diluted in FY1979"
Walmart,stage1,FY1975,Income before income taxes,12208,USD thousands,S0104,1975-03-28,ESTIMATE/DERIVED,High,5855+6353=12208,"both components CONTEMPORANEOUS on FY1975's own page; restated basis 11,521 (S0108)"
Walmart,stage1,FY1975,Cost of sales,176591,USD thousands,S0104,1975-03-28,FACT,High,,CONTEMPORANEOUS; first time FY1975's expense rows have their own witness
Walmart,stage1,FY1975,Operating and selling and general and administrative expense,48088,USD thousands,S0104,1975-03-28,FACT,High,,CONTEMPORANEOUS
Walmart,stage1,FY1975,Store space added,1083326,square feet,S0104,1975-03-28,FACT,High,,'a record for new store space in a single year'; FY1975 TOTAL square footage is UNKNOWN — no document prints it
Walmart,stage1,FY1975,Associates,5800,people,S0104,1975-03-28,FACT,Medium,,'its 5800 associates' / 'approximately 5800 associates'; company-stated
Walmart,stage1,FY1977,Net sales,478807,USD thousands,S0106,1977-04-01,FACT,High,,CONTEMPORANEOUS (FY1977 Eight-Year Summary); A2 held this only from the FY1980 ten-year table
Walmart,stage1,FY1977,Income before income taxes,31833,USD thousands,S0106,1977-04-01,ESTIMATE/DERIVED,High,15287+16546=31833,"as-PUBLISHED; the SFAS-13 restated figure is 30,857 — U-A3/4 keeps both and forbids reading either as primary"
Walmart,stage1,FY1977,Net income,16546,USD thousands,S0106,1977-04-01,FACT,High,,"CONTEMPORANEOUS; restated 16,039"
Walmart,stage1,FY1977,Total assets,133158,USD thousands,S0106,1977-04-01,FACT,High,,pre-SFAS-13 basis
Walmart,stage1,FY1977,Long-term debt,23245,USD thousands,S0106,1977-04-01,FACT,High,,"single line in FY1977's own report; the FY1978 report splits the same date into 19,158 + 4,087 capital leases = 23,245 (A3-012)"
Walmart,stage1,FY1977,Total store space,6500000,square feet,S0106,1977-04-01,FACT,Medium,,"'approximately 6,500,000 square feet as of year-end', +24% on 1,300,000 of new space; approximate by the company's own word"
Walmart,stage1,FY1977,Distribution capacity,550000,square feet,S0106,1977-04-01,FACT,Medium,,"'some 550,000 square feet totally' of Bentonville distribution, incl. a new 150,000 sq ft DC completed November 1976 → 300,000 sq ft pure DC; ~80% of merchandise flowed through it (60% two years earlier)"
Walmart,stage1,FY1977,Associates,10000,people,S0106,1977-04-01,FACT,Medium,,stated twice; round number; composition UNKNOWN
Walmart,stage1,FY1977,Dividends per share,0.085,USD/share,S0106,1977-04-01,FACT,High,,CONTEMPORANEOUS; refutes the FY1980 ten-year table's 1977 $.11 (COR-A3-04)
Walmart,stage1,FY1978,Net sales,678456,USD thousands,S0107,1978-04-14,FACT,High,,"CONTEMPORANEOUS (Nine-Year Summary, the cleanest of the five layers); also printed as $678,456,000 in the FY1979 comparative column"
Walmart,stage1,FY1978,Income before income taxes,42186,USD thousands,S0107,1978-04-14,ESTIMATE/DERIVED,High,20300+21886=42186,"as-PUBLISHED; restated in FY1979 to 40,847"
Walmart,stage1,FY1978,Net income,21886,USD thousands,S0107,1978-04-14,FACT,High,,"CONTEMPORANEOUS; restated 21,191"
Walmart,stage1,FY1978,Total assets,206691,USD thousands,S0107,1978-04-14,FACT,High,,"as published; the SAME DATE is restated to 251,865 in the FY1979 report — see conflict U-A3/6 and metric note in §5.4/5.6"
Walmart,stage1,FY1978,Stockholders' equity,98943,USD thousands,S0107,1978-04-14,FACT,High,,"as published; 96,482 restated (206,691→251,865 assets; 10,904→59,003 capital leases)"
Walmart,stage1,FY1978,Stores in operation,195,stores,S0107,1978-04-14,FACT,High,,30 new + 10 expanded/relocated + 16 acquired − 4 closed
Walmart,stage1,FY1978,Total floor space in operation,8500000,square feet,S0107,1978-04-14,FACT,High,,"vs 6,500,000 'at the same time a year ago'"
Walmart,stage1,FY1978,Comparable-store sales growth,17,percent,S0107,1978-04-14,FACT,Medium,,the ONLY same-store figure printed anywhere in the nine reports; the comparable-store population and dollar base are not defined ⇒ denominator UNKNOWN; §5.2 reconstructs and confirms internal consistency
Walmart,stage1,FY1978,Gross margin,25.7,percent,S0107,1978-04-14,FACT,High,,stated by management 'from 26.3 percent in 1977'; §5.5 derives 25.74%/26.34% independently and both agree
Walmart,stage1,FY1978,Inventories,135845000,USD,S0107,1978-04-14,FACT,High,,"CONTEMPORANEOUS; LIFO basis, replacement cost $14,148,000 higher per FY1979 Note 2"
Walmart,stage1,FY1979,Net sales,900298000,USD,S0108,1979-04-06,FACT,High,,CONTEMPORANEOUS from the audited income statement; A2 held FY1979 only from the FY1980 report
Walmart,stage1,FY1979,Income before income taxes,56772000,USD,S0108,1979-04-06,FACT,High,,"printed line; 909,913,000 total revenues − 853,141,000 total costs = 56,772,000 ✓"
Walmart,stage1,FY1979,Net income,29447000,USD,S0108,1979-04-06,FACT,High,,"implies taxes of 27,325,000 = 48.1% effective"
Walmart,stage1,FY1979,Total assets,324666000,USD,S0108,1979-04-06,FACT,High,,"POST-SFAS-13 basis; 98,868,000 + 25,965,000 + 72,357,000 + 127,476,000 = 324,666,000 ✓ — NOT comparable with any pre-FY1979 asset figure"
Walmart,stage1,FY1979,Long-term obligations under capital leases,72357000,USD,S0108,1979-04-06,FACT,High,,"vs 10,904,000 for FY1978 as published — the lease capitalisation made visible"
Walmart,stage1,FY1979,Inventories,172640000,USD,S0108,1979-04-06,FACT,High,,"replacement cost (FIFO vs LIFO) $22,271,000 greater"
Walmart,stage1,FY1979,Distribution centre under construction,390000,square feet,S0107,1978-04-14,FACT,High,,"Searcy Arkansas, construction began during FY1978, completion tentatively June 1978, 'capability of servicing one-half of the existing Wal-Mart stores'"
Walmart,stage1,FY1979,Dividends per share,0.22,USD/share,S0108,1979-04-06,FACT,High,,stated in the income statement parenthetical and as four quarterly payments of $.055
Walmart,stage1,FY1979,Number of shares outstanding,15079383,shares,S0108,1979-04-06,FACT,High,,CONTEMPORANEOUS (was FY1980-dated in A2)
Walmart,stage1,FY1970,Total assets,8493,USD thousands,S0107,1978-04-14,FACT,High,,RESTATED (in the FY1978 nine-year table) — the first statement of FY1970's balance sheet anywhere in this corpus; no FY1970 report exists
Walmart,stage1,FY1970,Stockholders' equity,3159,USD thousands,S0107,1978-04-14,FACT,High,,"RESTATED (in FY1978); independently confirmed by the table's own return-on-equity row: 1,652 / 3,159 = 52.3 = printed FY1971 ROE"
Walmart,stage1,FY1970,Net income,1187764,USD,S0101,1972-03-22,FACT,Medium,,"'pro forma'; RESTATED (in FY1972, FY1973, FY1974 reports); the FY1978 table prints 1,011 thousand and its own rows imply 1,239 — see U-A3/2"
Walmart,stage1,FY1968,Net sales,12618754,USD,S0101,1972-03-22,FACT,High,,RESTATED (in FY1972 report) and UNAUDITED — outside every opinion on disk; the earliest year any document counts
Walmart,stage1,FY1962,Net sales,UNKNOWN,UNKNOWN,no document on disk states any FY1962-FY1967 financial figure,UNKNOWN,UNKNOWN,UNKNOWN,,"EMPTY, not thin: nine reports, all summary tables searched. Earliest counted year is FY1968"
Walmart,stage1,FY1976,Sales per square foot,64.27,USD per square foot,S0105,1976-03-26,ESTIMATE/DERIVED,Medium,340331000 / 5295000 = 64.27,earliest computable year — no total square footage exists for FY1968-FY1975; denominator label undefined
Walmart,stage1,FY1980,Sales per square foot,99.06,USD per square foot,S0109,1980-04-01,ESTIMATE/DERIVED,Medium,1248176000 / 12600000 = 99.06,
Walmart,stage1,FY1978,Sales per store (period-end count),3479262,USD per store,S0107,1978-04-14,ESTIMATE/DERIVED,Medium,678456000 / 195 = 3479262,denominator is a PERIOD-END store count against a full-year numerator; average-store count is not printed for any year ⇒ the correct version of this metric is UNKNOWN
Walmart,stage1,FY1979,Debt to equity,0.771,ratio,S0108,1979-04-06,ESTIMATE/DERIVED,High,(25965000+72357000)/127476000 = 0.771,"excluding capital leases 25,965/127,476 = 0.204; both figures reported because 'debt' has two definitions in these documents"
Walmart,stage1,FY1962-FY1967,Every financial and physical variable,EMPTY,UNKNOWN,all nine reports searched,1972-03-22 to 1980-04-01,UNKNOWN,UNKNOWN,,EMPTY — a stated perimeter: the nine printed reports and every summary table in them
Walmart,stage1,1962,SECTOR — discount industry scale as the company entered it: Business Week's own characterisation 'fast-growing $6-billion industry',6000000000,USD/year,"S0112 (BW 1962 index, p.78, Dec.1 1962, 'Discounters strive to ride out storm')",1962-12-01,FACT,Medium,,"SECTOR metric, NOT a Wal-Mart metric. Index-level evidence: headline as printed. The industry's definition/universe is UNKNOWN (article text unreachable for 1962-1971 on this route). Conflicts with S0114's $6.9 billion for the same calendar year — U-A4/5."
Walmart,stage1,1962,"SECTOR — discount-store sales amounted to $6.9 billion in 1962, as reported seven months later",6900000000,USD/year,"S0114 (BW 1963 Jul-Dec index, short item p.132, Jul.13 1963)",1963-07-13,FACT,Low,,"SECTOR metric. Printed in the layer as a reflowed fragment: 'stores amounted to $6.9 / billion in 1962 # p132, Jul.13'. Basis and universe UNKNOWN. Kept beside, not instead of, the $6.0 billion of 1962-12-01 — U-A4/5."
Walmart,stage1,1963,SECTOR — count of discount stores: reported as DECREASING while units grew larger ('Fewer stores to share the pie … chains squeeze little guys'),UNKNOWN,direction-of-travel,"S0114 (BW 1963 Jul-Dec index, p.182, Nov.16 1963)",1963-11-16,CONTEMPORARY OBSERVATION,Medium,,"Numeric value UNKNOWN — the article text is unreachable, so the headline's direction is all that is recoverable. This is the contemporaneous sector statement closest to contradicting a 'small-town discounter was the future' reading; see U-A4/6 and the §2 hindsight audit."
Walmart,stage1,1958,SECTOR — member stores reporting MORE discount houses in their communities,28,percent-of-respondents,"S0131 (Stores, June 1958, raw offsets 32746/32858)",1958-06,FACT,Medium,,"Survey of Stores' own readers. Respondent universe and n UNKNOWN (UNTRIED). Row is a SECTOR penetration measure, not a company measure. 2026-09-25 A4."
Walmart,stage1,1958,SECTOR — member stores reporting FEWER discount houses in their communities,6,percent-of-respondents,"S0131 (Stores, June 1958)",1958-06,FACT,Medium,,As above. Read with the 28% and 66% rows: the trade's own contemporaneous judgement was that discount spread was 'slowing down' four years before Wal-Mart opened.
Walmart,stage1,1958,SECTOR — member stores reporting NO CHANGE in discount houses in their communities,66,percent-of-respondents,"S0131 (Stores, June 1958)",1958-06,FACT,Medium,,"28 + 6 + 66 = 100, consistent with a single-response survey; the check is stated, not assumed."
Walmart,stage1,1961,SECTOR/ASSOCIATION — NRMA membership: retail establishments covered,11500,establishments,"S0133 (Stores, December 1961, raw offset 13749)",1961-12,FACT,Medium,,"MEMBERSHIP AGGREGATE, NOT a count of discount stores and NOT a market-size measure. Must never be used as a denominator for a Wal-Mart share of industry. Label travels with the number."
Walmart,stage1,1961,SECTOR/ASSOCIATION — NRMA membership: combined annual sales of member stores,19000000000,USD/year,"S0133 (Stores, December 1961, raw offset 13749 'over $19 billion')",1961-12,FACT,Medium,,"Floor value ('over'), association self-report, universe = members only. Not comparable to the discount-industry figures above (different universes and definitions)."
Walmart,stage1,1961,"DERIVED — average annual sales per NRMA member establishment, 1961",1652174,USD/establishment/year,"S0133 (Stores, December 1961)",1961-12,DERIVED,Low,19000000000 / 11500 = 1652174,"A4's own arithmetic on the association's floor values; both inputs are 'over' figures so the quotient is a lower-bound-ish average of an undefined mix. Recorded to show the derivation is visible, not to be cited as an industry statistic."
Walmart,stage1,1961,SECTOR — discount markup on hard goods as stated at NRMA's Discount Seminar,'26 to 28',percent,"S0133 (Stores, December 1961, raw offset 74633)",1961-12,FACT,Medium,,"As printed, a range, with the qualification that stores doing large small-electricals volume ran lower. NOT comparable with the registrant's gross-margin percentages, which are whole-store margins (A3 §5.5) — different measures, different bases; see U-A4/7's mechanism note."
Walmart,stage1,1961,SECTOR — attendance at NRMA's first Discount Seminar (the trade body of Walton's own franchise form),800,people,"S0133 (Stores, December 1961, raw offset 61464)",1961-11,FACT,Medium,,"Held November 1961, reported December 1961 — three months before the first Wal-Mart Discount City opened. 'About one half' conventional department stores; the rest discounters, lessees, buying offices, manufacturers, consultants, teachers, reporters. Association reporting its own event: third-party publisher, self-reported magnitude."
Walmart,stage1,1962-1971,COMPANY — Wal-Mart named in Business Week index apparatus,0,named-index-entries,S0112 S0113 S0114 S0115 S0116 S0117 S0118 S0119 S0120 S0121 S0122 S0123 S0124,1971,FACT,High,,"THE HEADLINE NULL OF THE DOSSIER. Ten consecutive index years (13 half-and-full volumes, ~1.06 million words, every layer byte-exact against its own metadata) return zero entries for Wal-Mart, Walmart, Ben Franklin (as a firm), five-and-dime, Bentonville, Springdale or Rogers Arkansas as a company. An index silence is BW's editorial record, NOT proof the company was unmentioned anywhere."
Walmart,stage1,1946-1961,COMPANY — Walton's / Wal-Mart / Ben Franklin named in the *Stores* monthly issues sampled by A4,0,named-mentions,S0127 S0128 S0129 S0130 S0131 S0132 S0133,1961-12,FACT,Medium,,"7 of ~200 issues in the 1945-1961 monthly run (1946-06, 1950-06, 1951-06, 1955-06, 1958-06, 1961-03, 1961-12), each read whole. 193 issues UNTRIED. OCR can lose a small name (the 1946 layer is the worst in the run), so this is Medium, not High — A4-40."
Walmart,stage1,1970-1975,COMPANY — Wal-Mart named in *Stores* annual indexes,0,named-index-entries,"S0125 S0126 (A4: 1971, 1972) + intake: 1970, 1974, 1975",1975,FACT,Medium,,"All five index volumes that exist for the window on this route. Weaker instrument than BW: the *Stores* index is SUBJECT-only with no company alphabet, so a zero means 'no article indexed under that word', not 'the journal never mentioned the firm' (COR-A4-08)."
Walmart,stage1,1970-1979,ROUTE-STATE (not a company metric) — HathiTrust full-view records whose OCR text matches the phrase 'Wal-Mart' with the publication-decade facet 1970-1979,573,records-matching-search,S0137 (A4-43),2026-09-25,FACT,High,,"Reachability and candidate-set count only: NO item text has been read, so no naming is established and the independent-lineage count is UNCHANGED. Page 1 of the result set is U.S. government serials (SEC Statistical bulletin 1973-74, USITC publications Nos. 2748/3105) plus a 1974 Nevada airport environmental statement — which are the kind of hit that must be read before being counted. Recorded because it is the first candidate pool this project has held for the years after the listing."
